price,link,longitude,baths,date,contentLen,size,postDate,CraigID,area,title,coord,beds,updateDate,latitude,numPic,zipcode
1550,/see/apa/4756033376.html,-122.325607,1,10-Nov,4,620,2014-11-10T23:43:57-0800,4756033376, (First Hill),Available NOW!!!,"47.610248, -122.325607",1,2014-11-10T23:43:57-0800,47.610248,12,98101
3800,/see/apa/4739606620.html,-122.38143,2,10-Nov,16,3000,2014-10-30T21:40:35-0700,4739606620," (North Beach Seattle, Crown Hill, Olympic Manor, Blue Ridge)","LUXURY SOUND VIEW HOUSE, near Ballard & Fremont, Pets OK","47.698166, -122.381430",3,2014-11-10T21:32:37-0800,47.698166,16,98117
3499,/see/apa/4745056806.html,-122.355809,3,10-Nov,32,2500,2014-11-03T17:41:34-0800,4745056806," (Greenwood, Seattle)","3 bed, 3 bath, 2 parking fully furnished Seattle townhome","47.714266, -122.355809",3,2014-11-10T13:58:51-0800,47.714266,16,98133
2250,/see/apa/4749967436.html,-122.370207,1,10-Nov,3,2440,2014-11-06T20:51:38-0800,4749967436, (Seattle),3 plus bedroom home with large yard,"47.710123, -122.370207",3,2014-11-10T19:58:45-0800,47.710123,9,98177
3100,/see/apa/4717730308.html,-122.338038,3,10-Nov,7,2300,2014-10-16T12:43:23-0700,4717730308, (Greenlake),"Beautiful, 3BR 3BA, modern home, steps to lake","47.670120, -122.338038",3,2014-11-10T17:33:16-0800,47.67012,7,98103
2895,/see/apa/4751096259.html,-122.393107,1,10-Nov,34,2200,2014-11-07T14:26:22-0800,4751096259," (2582 28th Ave W, Seattle WA)",(1183) Spanish Stucco Single Family Magnolia Home with Hardwood Floors,"47.642987, -122.393107",2,2014-11-10T11:00:00-0800,47.642987,3,98199
3750,/see/apa/4755945320.html,-122.279355,2,10-Nov,1,2180,2014-11-10T20:49:24-0800,4755945320, (Laurelhurst),Laurelhurst rental,"47.663270, -122.279355",3,2014-11-10T20:50:02-0800,47.66327,5,98105
3595,/see/apa/4744401063.html,-122.364094,2.5,10-Nov,36,2040,2014-11-03T10:56:07-0800,4744401063," (501 W Olympic Pl, Seattle WA)",(1196) Beautifully Updated 3 story Queen Anne Townhome,"47.627041, -122.364094",3,2014-11-10T11:00:06-0800,47.627041,8,98119
2400,/see/apa/4744772090.html,-122.356453,2,10-Nov,7,2000,2014-11-03T14:18:05-0800,4744772090, (106 Florentia St),Large Family Home - N slope Queen Anne,"47.646858, -122.356453",3,2014-11-11T12:41:35-0800,47.646858,12,98119
2300,/see/apa/4755177420.html,-122.301842,1,10-Nov,36,2000,2014-11-10T11:34:00-0800,4755177420, (Olympic Hills),Northside gem!,"47.719393, -122.301842",3,2014-11-10T11:34:00-0800,47.719393,0,98125
3600,/see/apa/4755967656.html,-122.30032,2.5,10-Nov,37,1900,2014-11-10T21:21:54-0800,4755967656, (Central Seattle),Furnished Townhome Available January,"47.613223, -122.300320",3,2014-11-10T21:21:54-0800,47.613223,6,98122
2750,/see/apa/4755339205.html,-122.3005,3,10-Nov,24,1800,2014-11-10T13:00:29-0800,4755339205, (Seattle),Urban Oasis for rent,"47.584600, -122.300500",3,2014-11-10T13:00:29-0800,47.5846,21,98144
2500,/see/apa/4755264211.html,-122.316638,1.5,10-Nov,8,1800,2014-11-10T12:19:02-0800,4755264211, ((N Seattle/Jackson Park)),"3 Br plus - Midcentury modern, great location, park like setting ","47.725305, -122.316638",3,2014-11-11T16:45:36-0800,47.725305,6,98125
2500,/see/apa/4736405524.html,-122.290446,2,10-Nov,3,1710,2014-10-28T18:39:33-0700,4736405524, (Seattle),Charming 2 story w/ finished bsmt in ideal Wedgwood location! ,"47.693023, -122.290446",4,2014-11-10T15:52:14-0800,47.693023,16,98115
2300,/see/apa/4748181550.html,-122.335643,2.5,10-Nov,11,1650,2014-11-05T17:01:58-0800,4748181550, (Seattle),Home For Rent in Seattle,"47.723240, -122.335643",3,2014-11-10T13:31:37-0800,47.72324,6,98133
1850,/see/apa/4717705926.html,-122.343665,1.5,10-Nov,50,1590,2014-10-16T12:28:50-0700,4717705926," (Greenwood, Greenlake, Phinney Ridge)",Beautiful Townhome,"47.697188, -122.343665",3,2014-11-10T11:13:13-0800,47.697188,15,98103
1895,/see/apa/4752296488.html,-122.295964,2.5,10-Nov,23,1580,2014-11-08T11:22:52-0800,4752296488, (Seattle/North Seattle),Nice North Seattle Townhouse,"47.722018, -122.295964",3,2014-11-10T23:13:09-0800,47.722018,8,98125
2050,/see/apa/4725159994.html,-122.3547,2.5,10-Nov,4,1550,2014-10-21T11:19:19-0700,4725159994, (West Seattle),Beautiful Townhouse 2713 SW Sylvan Heights Dr,"47.534400, -122.354700",2,2014-11-10T12:47:42-0800,47.5344,7,98106
1895,/see/apa/4744270939.html,-122.31254,2,10-Nov,40,1545,2014-11-03T09:51:07-0800,4744270939," (13730 15th Ave NE, Seattle WA)",(1293) Beautifully appointed North Seattle unit at Chambery Park condo,"47.730263, -122.312540",2,2014-11-10T11:00:42-0800,47.730263,3,98125
6181,/see/apa/4739118880.html,-122.3305,3,10-Nov,6,1516,2014-10-30T14:04:02-0700,4739118880, (Premiere on Pine),"Get in, at the top! Penthouse Suites that inspire","47.611400, -122.330500",3,2014-11-10T15:20:27-0800,47.6114,18,98101
3195,/see/apa/4755502962.html,-122.357838,2,10-Nov,11,1514,2014-11-10T14:38:08-0800,4755502962, (Queen Anne),Live in the landmark Victoria - Kerry Park/Queen Anne,"47.629720, -122.357838",2,2014-11-10T14:38:08-0800,47.62972,14,98109
1895,/see/apa/4730003477.html,-122.279162,2,10-Nov,27,1500,2014-10-24T12:29:16-0700,4730003477, (Laurelhurst/U Village),Fantastic Location! Laurelhurst Duplex for Lease,"47.665069, -122.279162",2,2014-11-10T15:30:06-0800,47.665069,11,98105
4075,/see/apa/4755503537.html,-122.333512,2,10-Nov,16,1465,2014-11-10T14:38:30-0800,4755503537, (Downtown Seattle),"Luxurious Top Floor Penthouse, Breathtaking Views, Large Bedrooms,","47.613971, -122.333512",2,2014-11-10T14:38:30-0800,47.613971,10,98101
2400,/see/apa/4755104707.html,-122.298903,1.5,10-Nov,4,1440,2014-11-10T10:56:32-0800,4755104707, (Central Seattle),"Built in 2007 3 bed, 1.5 bath ","47.600231, -122.298903",3,2014-11-10T10:56:32-0800,47.600231,14,98144
850,/see/apa/4755912956.html,-122.388554,2,10-Nov,8,1428,2014-11-10T20:09:19-0800,4755912956, (Magnolia),Room for Rent,"47.650703, -122.388554",2,2014-11-10T20:09:19-0800,47.650703,11,98199
2150,/see/apa/4723548168.html,-122.401278,2,10-Nov,31,1420,2014-10-20T11:43:47-0700,4723548168," (6707 34th Ave NW, Seattle WA)",(1222) Ballard / Sunset Hill Home with Sound View and Terraced Yard,"47.677207, -122.401278",2,2014-11-11T11:01:17-0800,47.677207,0,98117
2800,/see/apa/4756012722.html,-122.301036,2,10-Nov,8,1400,2014-11-10T22:46:50-0800,4756012722, (Madison Valley/Capitol Hill),Tranquil Living in a Great Location!,"47.620320, -122.301036",3,2014-11-10T22:46:50-0800,47.62032,6,98122
2400,/see/apa/4728853806.html,-122.3643,1.5,10-Nov,16,1400,2014-10-23T16:40:03-0700,4728853806," (Queen Anne,Seattle)",Gorgeous Queen Anne Home For Rent!,"47.637900, -122.364300",3,2014-11-10T23:16:23-0800,47.6379,15,98119
2100,/see/apa/4734035482.html,-122.304337,2,10-Nov,16,1400,2014-10-27T10:57:28-0700,4734035482, (Ravenna),Newly Remodeled 3 Bed/2Bath House,"47.688420, -122.304337",3,2014-11-10T11:40:45-0800,47.68842,7,98115
1595,/see/apa/4744342306.html,-122.328242,1.5,10-Nov,24,1371,2014-11-03T10:26:41-0800,4744342306,,Spacious 2 Bedroom North Seattle Top Floor Town Home,"47.697883, -122.328242",2,2014-11-10T11:02:00-0800,47.697883,7,98103
2000,/see/apa/4755608439.html,-122.314736,2,10-Nov,15,1350,2014-11-10T15:49:49-0800,4755608439, (Beacon Hill ),New Construction Townhouse Available for Rent Dec. 1,"47.567020, -122.314736",3,2014-11-10T15:55:16-0800,47.56702,17,98108
3400,/see/apa/4755731757.html,-122.343638,2.5,10-Nov,32,1300,2014-11-10T17:22:49-0800,4755731757, (South Lake Union),"2-floor, 2-bed + Loft Penthouse Condo w/ Space Needle and City Views","47.619920, -122.343638",2,2014-11-10T17:22:49-0800,47.61992,13,98121
3000,/see/apa/4755951107.html,-122.336347,2.5,10-Nov,1,1300,2014-11-10T20:57:35-0800,4755951107, (Wallingford),Wallingford Townhome with 2 car garage!!,"47.651166, -122.336347",2,2014-11-10T21:11:50-0800,47.651166,6,98103
3196,/see/apa/4755436466.html,-122.333512,2,10-Nov,62,1287,2014-11-10T13:57:15-0800,4755436466, (Downtown Seattle),"Open Living Space 2x2, Hardwood Floors, Gourmet Kitchen","47.613971, -122.333512",2,2014-11-10T13:57:15-0800,47.613971,11,98101
1845,/see/apa/4748954936.html,-122.3426,2,10-Nov,20,1275,2014-11-06T09:07:06-0800,4748954936, (Freemont),Seattle,"47.673400, -122.342600",1,2014-11-10T17:30:04-0800,47.6734,10,98103
2495,/see/apa/4751965836.html,-122.33411,2,10-Nov,29,1260,2014-11-08T08:22:45-0800,4751965836, (Pioneer Square/Downtown/CLink Field),Beautiful Condo for Lease in Historic Building,"47.597942, -122.334110",2,2014-11-10T15:30:24-0800,47.597942,11,98104
2095,/see/apa/4731505406.html,-122.355595,3.5,10-Nov,22,1260,2014-10-25T13:41:00-0700,4731505406," (Carkeek, Bitter Lake, Broadview)",3br/3.5 ba. Deluxe North Greenwood Townhouse with rooftop deck. ,"47.710888, -122.355595",3,2014-11-10T22:13:50-0800,47.710888,15,98133
2622,/see/apa/4755785488.html,-122.385102,2,10-Nov,7,1259,2014-11-10T18:06:56-0800,4755785488, (Ballard/Seattle/Fremont/South Lake Union),✦ The Ultimate 2x2 + Den in the Heart of Ballard! 2 Weeks FREE Rent! ,"47.670811, -122.385102",2,2014-11-10T18:06:56-0800,47.670811,7,98107
2569,/see/apa/4755784658.html,-122.385102,2,10-Nov,8,1259,2014-11-10T18:06:12-0800,4755784658, (Ballard/Seattle/Fremont/South Lake Union),✦ Gorgeous 2x2 + DEN Available FANTASTIC MOVE-IN SPECIALS! ! ,"47.670811, -122.385102",2,2014-11-10T18:06:12-0800,47.670811,7,98107
2600,/see/apa/4755528143.html,-122.353213,1.5,10-Nov,20,1250,2014-11-10T14:54:26-0800,4755528143, (Francis Ave N.),Great Find! 2 bed/ 1.5 bath Townhouse in Heart of Fremont ,"47.653291, -122.353213",2,2014-11-10T14:54:26-0800,47.653291,10,98119
2500,/see/apa/4737065061.html,-122.347538,2,10-Nov,15,1244,2014-10-29T09:10:41-0700,4737065061, (Queen Anne / SLU),"2 BR/2 BA - Queen Anne Double Master Suite, Condo w/d in unit","47.629020, -122.347538",2,2014-11-10T20:25:03-0800,47.62902,10,98109
